review_id,product_id,begin_offset,content,sentiment_score,sentiment_magnitude
1,1,0,"I love this so much better than my old, broken Kindle fire.",0.8999999761581421,0.8999999761581421
1,1,61,"I have a smartphone, a tablet, a desktop, a laptop - I didn't need the Fire & never really liked it.",-0.20000000298023224,0.20000000298023224
1,1,163,I had been wanting a paperwhite but wouldn't buy one when my Fire worked fine.,-0.6000000238418579,0.6000000238418579
1,1,243,Then it didn't.,0.0,0.0
1,1,260,It stopped charging so I bought the paperwhite.,-0.4000000059604645,0.4000000059604645
1,1,309,So happy I did!,0.800000011920929,0.800000011920929
1,1,326,This is my 3rd Kindle & my favorite by far!,0.699999988079071,0.699999988079071
2,1,0,"I have had to contact kindle support too many times , this kindle has trouble down loading library books.",-0.5,0.5
2,1,106,I've had to contact support each time and have them do it.,0.0,0.0
2,1,165,My old kindle didn't have that problem.,0.4000000059604645,0.4000000059604645
3,1,0,I love it,0.800000011920929,0.800000011920929
4,1,0,"I was hesitant to buy Kindle because it is single purpose, slow at the age of faster multi purpose smartphones and and tablets.",-0.20000000298023224,0.20000000298023224
4,1,128,"I have tried reading books on my computer, smartphone but it didn’t work for me.",-0.800000011920929,0.800000011920929
4,1,209,I would ger distracted with notifications and other apps.,0.10000000149011612,0.10000000149011612
4,1,267,Kindle has made me fall in love with reading books again.,0.699999988079071,0.699999988079071
4,1,325,l spend less and less time on social media and prefer reading more.,0.10000000149011612,0.10000000149011612
4,1,393,"Its size is perfect for reading, light does not irritate your eyes, almost no reflection.",0.800000011920929,0.800000011920929
4,1,484,So yes it is single purpose but does ite job exteemely well.,0.6000000238418579,0.6000000238418579
4,1,545,If you like reading you will love this.,0.800000011920929,0.800000011920929
5,1,0,"It works perfectly, has good battery life, is easy on the eyes and is easy to hold.",0.8999999761581421,0.8999999761581421
6,1,0,"I like it very much as is handy, convenient to carry around,  the screen gives less strain to my eyes compared to mobile phone.",0.8999999761581421,0.8999999761581421
6,1,128,My reading materials are mostly on health books at this moment.,0.4000000059604645,0.4000000059604645
7,1,0,Love it.,0.800000011920929,0.800000011920929
7,1,10,"Can read anywhere, anytime (bright sunshine or darkened bedroom.",0.6000000238418579,0.6000000238418579
8,1,0,I haven’t been able to read books in the past four years due to shadowing and double vision.,-0.5,0.5
8,1,93,"With the paper white kindle, I am again enjoying books.",0.800000011920929,0.800000011920929
9,1,0,So much nicer then using a app on an iPad.,0.6000000238418579,0.6000000238418579
10,1,0,"I have a fire and this new paperwhite (well, new when I bought it earlier this year).",0.4000000059604645,0.4000000059604645
10,1,86,"Unlike the claims Amazon makes, it does not hold the charge for weeks (because I use it a lot), but it does last a lot longer than my fire, and it charges fast--from dead to full power in an hour.",-0.5,0.5
10,1,283,I would like charge claims to actually state how many hours a charge lasts on all Kindle products because everyone's reading habits are different.,0.0,0.0
10,1,430,A few things I especially like is that it's easier to delete a book from the home page and the covers that automatically turn it on/off.,0.20000000298023224,0.20000000298023224
10,1,567,"I'm glad I upgraded, am happy with my paperwhite and would recommend it.",0.8999999761581421,0.8999999761581421
11,1,0,I love my Kindle paperwhite.,0.800000011920929,0.800000011920929
11,1,29,I can take it to the pool and sit in the sun and read without glare.,0.30000001192092896,0.30000001192092896
11,1,98,I have been reading on the Kindle paperwhite for years.,0.5,0.5
11,1,154,I accidentally left mine in Europe on a recent vacation.,0.20000000298023224,0.20000000298023224
11,1,211,I was so happy to be able to replace it at a very reasonable price with a brand new Kindle paperwhite in two days.,0.8999999761581421,0.8999999761581421
12,1,0,"I had a 2nd generation Kindle which I loved and still works perfectly, but I though I'd try a newer one and this is a great kindle.",0.8999999761581421,0.8999999761581421
12,1,132,Works perfectly as a reader and does absolutely everything I think it should.,0.8999999761581421,0.8999999761581421
12,1,211,Would definitely recommend this model to anyone wanting a reader.,0.8999999761581421,0.8999999761581421
13,1,0,Good E-reader but would be great if it were waterproof at this size and price.,0.6000000238418579,0.6000000238418579
14,1,0,This is my second Kindle Paperwhite.,0.5,0.5
14,1,38,I love it.,0.800000011920929,0.800000011920929
14,1,50,I use it every day for hours.,0.4000000059604645,0.4000000059604645
14,1,81,It is easy to use and very flexible.,0.8999999761581421,0.8999999761581421
15,1,0,Great for reading out side.,0.800000011920929,0.800000011920929
16,1,0,Holy smokes-this thing is awesome!,0.8999999761581421,0.8999999761581421
16,1,36,Here's what you need to know about buying a Kindle:<br />There are 4 kinds:  The expensive one.,0.20000000298023224,0.20000000298023224
16,1,133,Don't buy that one (the battery dies too quickly).,-0.10000000149011612,0.10000000149011612
16,1,185,The cheap one.,0.0,0.0
16,1,201,"Don't buy the cheap one, it's not good enough.",-0.800000011920929,0.800000011920929
16,1,249,This one-it's awesome.,0.8999999761581421,0.8999999761581421
16,1,273,"The one above this one-don't buy that one, I forget why.<br /><br />Really important:  Do NOT buy the $30 cover.",-0.4000000059604645,0.4000000059604645
16,1,387,Go to Target and buy the very thin cover ($12 or so) that shuts off the Paperweight when you close it.,-0.5,0.5
16,1,491,This cover will let u put the Paperweight in the pocket of your coat or scrubs.,0.0,0.0
16,1,572,You WANT the thin $12 cover.<br /><br />This part is awesome:  Kindle gives you your own e-mail address!,0.30000001192092896,0.30000001192092896
16,1,678,You can e-mail documents to your e-mail address (ie:  georgewashington@kindle.com) and when you sync they'll be loaded onto your Paperweight!<br /><br />You don't need to buy the charger.,0.10000000149011612,0.10000000149011612
16,1,867,"Trust me, you have a charger.",0.0,0.0
16,1,898,Everyone has a charger.,0.20000000298023224,0.20000000298023224
16,1,923,In another couple of years chargers will be just sitting around everywhere.,0.0,0.0
16,1,1000,Just use any old charger you've got.<br /><br />FREE.,0.6000000238418579,0.6000000238418579
16,1,1054,BOOKS!,0.0,0.0
16,1,1062,"Okay, if you LOVE to read, here's what you can do.",0.699999988079071,0.699999988079071
16,1,1114,Do a search on Amazon books for 'Books everyone should read'.,0.10000000149011612,0.10000000149011612
16,1,1177,Find a book that lists 100 or 200 or 500 of the books everyone should read.,0.30000001192092896,0.30000001192092896
16,1,1254,This will be free.,0.10000000149011612,0.10000000149011612
16,1,1274,Ya' with me so far?,0.10000000149011612,0.10000000149011612
16,1,1295,Get that & download it/open it.,0.0,0.0
16,1,1328,"THEN, open up a separate window and in Amazon books, type in the name of the book followed by the word 'free'.",0.0,0.0
16,1,1440,"For example, type in 'Tarzan, free', or 'Gulliver's Travels, free', or 'Tom Sawyer, free' and Amazon will give you a list of all the free e-books w/that title!",0.30000001192092896,0.30000001192092896
16,1,1601,You get 100's and 100's and 100's and 100's of books FREE!,0.6000000238418579,0.6000000238418579
16,1,1661,YIPPEEE!!!<br /><br />The Kindle Paperweight is the one Xmas present everyone should have.,0.6000000238418579,0.6000000238418579
16,1,1753,YOU deserve one of these things YES YOU DO!<br /><br />Hot damn the Paperweight is awesome.,0.8999999761581421,0.8999999761581421
16,1,1846,One of the best purchases I've ever made.,0.8999999761581421,0.8999999761581421
17,1,0,"I never thought I’d like reading on anything but an actual book in my hands, but my daughter convinced me to try the Kindle Paperwhite E-reader and I love it.",0.8999999761581421,0.8999999761581421
17,1,159,It’s small enough to carry in my purse and the cool cover that I purchased separately makes it look like an actual book.,0.0,0.0
17,1,280,No more books to set on a shelf collecting dust.,-0.5,0.5
17,1,329,It’s perfect!,0.8999999761581421,0.8999999761581421
18,1,0,Great product!,0.8999999761581421,0.8999999761581421
18,1,15,Works really good and fast!,0.8999999761581421,0.8999999761581421
18,1,43,highly recommended.,0.800000011920929,0.800000011920929
19,1,0,Great basic Kindle!,0.800000011920929,0.800000011920929
20,1,0,Really enjoying the upgrade on my Kindle.,0.8999999761581421,0.8999999761581421
20,1,43,I like the book cover that I can see from the screen for finding the book I want to read.,0.30000001192092896,0.30000001192092896
20,1,134,Still getting used to tapping to turn the page as opposed to pushing a button.,-0.10000000149011612,0.10000000149011612
20,1,214,All in all I really love it!,0.8999999761581421,0.8999999761581421
21,1,0,Fast shipping and excellent product.,0.8999999761581421,0.8999999761581421
21,1,37,I primarily got this for my wife but she hasn't really used it yet.,0.0,0.0
21,1,105,I've used it a little and love the built in light for it.,0.8999999761581421,0.8999999761581421
21,1,163,Great ereader.,0.8999999761581421,0.8999999761581421
22,1,0,"I read a lot and I just love my new Kindle especially the back light, perfect for when I read at night.",0.8999999761581421,0.8999999761581421
23,1,0,Love it.,0.800000011920929,0.800000011920929
23,1,9,Better than I thought.,0.8999999761581421,0.8999999761581421
23,1,32,I got a super good deal on Amazon prime day.,0.800000011920929,0.800000011920929
24,1,0,This is my 2nd paperwhite and I love it.,0.8999999761581421,0.8999999761581421
24,1,41,I like to read in the dark so as not to disturb anyone and the backlight of the kindle is wonderful for night time reading.,0.8999999761581421,0.8999999761581421
24,1,165,It is great for anytime also.,0.8999999761581421,0.8999999761581421
24,1,195,The ease of use with tap functions is user friendly.,0.8999999761581421,0.8999999761581421
